time_iso8601,forks_cumulative
2022-02-17 00:00:00+00:00,1
2022-02-21 00:00:00+00:00,2
2022-03-08 00:00:00+00:00,3
2022-04-09 00:00:00+00:00,4
2022-04-16 00:00:00+00:00,5
2022-04-24 00:00:00+00:00,6
2022-05-06 00:00:00+00:00,7
2022-05-07 00:00:00+00:00,8
2022-05-29 00:00:00+00:00,9
2022-06-01 00:00:00+00:00,10
2022-06-06 00:00:00+00:00,11
2022-06-17 00:00:00+00:00,12
2022-06-22 00:00:00+00:00,13
2022-07-05 00:00:00+00:00,14
2022-07-21 00:00:00+00:00,15
2022-08-10 00:00:00+00:00,16
2022-08-25 00:00:00+00:00,17
2022-08-29 00:00:00+00:00,19
2022-09-08 00:00:00+00:00,20
2022-09-13 00:00:00+00:00,21
2022-09-19 00:00:00+00:00,22
2022-09-22 00:00:00+00:00,23
2022-12-14 00:00:00+00:00,24
2022-12-25 00:00:00+00:00,25
2023-03-07 00:00:00+00:00,26
2023-03-09 00:00:00+00:00,27
