url_path,views_total,views_unique
/bagarrattaa/email-nuker,818,496
/bagarrattaa/email-nuker/blob/main/bomber.py,47,31
/bagarrattaa/email-nuker/blob/main/emailbomber.py,43,31
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,24
/bagarrattaa/email-nuker/issues,16,14
/bagarrattaa/email-nuker/releases/tag/windows2.0,16,13
/bagarrattaa/email-nuker/find/main,12,11
/bagarrattaa/email-nuker/tree/main/.github/workflows,12,11
/bagarrattaa/email-nuker/blob/main/README.md,10,8
/bagarrattaa/email-nuker/releases,8,8
