time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-24 00:00:00+00:00,9,9,125,46
2023-02-25 00:00:00+00:00,14,11,65,37
2023-02-26 00:00:00+00:00,7,6,65,35
2023-02-27 00:00:00+00:00,15,13,98,50
2023-02-28 00:00:00+00:00,9,8,87,46
2023-03-01 00:00:00+00:00,8,8,82,43
2023-03-02 00:00:00+00:00,21,12,63,35
2023-03-03 00:00:00+00:00,7,7,91,38
2023-03-04 00:00:00+00:00,9,9,96,37
2023-03-05 00:00:00+00:00,11,10,60,41
2023-03-06 00:00:00+00:00,16,12,79,49
2023-03-07 00:00:00+00:00,8,6,121,52
2023-03-08 00:00:00+00:00,9,9,59,41
2023-03-09 00:00:00+00:00,12,12,63,39
