time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-28 00:00:00+00:00,7,6,41,18
2022-05-29 00:00:00+00:00,18,17,85,26
2022-05-30 00:00:00+00:00,12,9,84,29
2022-05-31 00:00:00+00:00,16,12,72,23
2022-06-01 00:00:00+00:00,9,9,101,41
2022-06-02 00:00:00+00:00,9,9,57,34
2022-06-03 00:00:00+00:00,8,7,52,27
2022-06-04 00:00:00+00:00,9,8,28,20
2022-06-05 00:00:00+00:00,7,7,50,23
2022-06-06 00:00:00+00:00,21,18,94,31
2022-06-07 00:00:00+00:00,12,11,80,33
2022-06-08 00:00:00+00:00,28,22,116,35
2022-06-09 00:00:00+00:00,11,10,55,33
2022-06-10 00:00:00+00:00,9,8,56,23
2022-06-11 00:00:00+00:00,13,12,103,23
2022-06-12 00:00:00+00:00,16,14,93,32
2022-06-13 00:00:00+00:00,17,15,86,35
2022-06-14 00:00:00+00:00,23,20,71,34
2022-06-15 00:00:00+00:00,11,11,84,35
2022-06-16 00:00:00+00:00,4,4,57,22
2022-06-17 00:00:00+00:00,13,13,93,29
2022-06-18 00:00:00+00:00,14,11,50,29
2022-06-19 00:00:00+00:00,13,11,81,28
2022-06-20 00:00:00+00:00,22,20,146,50
2022-06-21 00:00:00+00:00,18,16,92,35
2022-06-22 00:00:00+00:00,21,19,126,42
2022-06-23 00:00:00+00:00,17,17,79,40
2022-06-24 00:00:00+00:00,10,10,70,28
2022-06-25 00:00:00+00:00,14,12,61,31
2022-06-26 00:00:00+00:00,16,14,57,27
2022-06-27 00:00:00+00:00,10,8,43,15
2022-06-28 00:00:00+00:00,10,10,61,27
2022-06-29 00:00:00+00:00,10,9,71,33
2022-06-30 00:00:00+00:00,12,12,50,23
2022-07-01 00:00:00+00:00,14,13,38,21
2022-07-02 00:00:00+00:00,7,7,19,12
2022-07-03 00:00:00+00:00,18,12,40,24
2022-07-04 00:00:00+00:00,5,5,48,24
2022-07-05 00:00:00+00:00,12,10,41,25
2022-07-06 00:00:00+00:00,18,17,55,26
2022-07-07 00:00:00+00:00,8,8,71,34
2022-07-08 00:00:00+00:00,16,15,78,33
2022-07-09 00:00:00+00:00,13,11,32,23
2022-07-10 00:00:00+00:00,26,16,87,38
2022-07-11 00:00:00+00:00,13,13,104,44
2022-07-12 00:00:00+00:00,16,15,109,42
2022-07-13 00:00:00+00:00,14,14,152,44
2022-07-14 00:00:00+00:00,14,13,95,44
2022-07-15 00:00:00+00:00,17,15,238,94
2022-07-16 00:00:00+00:00,22,20,166,56
2022-07-17 00:00:00+00:00,22,19,133,50
2022-07-18 00:00:00+00:00,18,15,126,54
2022-07-19 00:00:00+00:00,22,20,99,52
2022-07-20 00:00:00+00:00,27,23,84,38
2022-07-21 00:00:00+00:00,7,7,79,32
2022-07-22 00:00:00+00:00,15,15,107,37
2022-07-23 00:00:00+00:00,15,15,76,30
2022-07-24 00:00:00+00:00,17,16,77,27
2022-07-25 00:00:00+00:00,22,19,100,38
2022-07-26 00:00:00+00:00,11,10,101,40
2022-07-27 00:00:00+00:00,18,18,105,51
2022-07-28 00:00:00+00:00,12,12,69,38
2022-07-29 00:00:00+00:00,16,14,77,41
2022-07-30 00:00:00+00:00,10,10,47,26
2022-07-31 00:00:00+00:00,9,9,46,28
2022-08-01 00:00:00+00:00,25,22,98,33
2022-08-02 00:00:00+00:00,21,18,115,47
2022-08-03 00:00:00+00:00,25,20,87,42
2022-08-04 00:00:00+00:00,20,18,50,35
2022-08-05 00:00:00+00:00,14,13,99,44
2022-08-06 00:00:00+00:00,23,18,69,33
2022-08-07 00:00:00+00:00,30,25,106,51
2022-08-08 00:00:00+00:00,19,13,51,36
2022-08-09 00:00:00+00:00,12,12,69,36
2022-08-10 00:00:00+00:00,29,26,112,49
2022-08-11 00:00:00+00:00,28,21,73,41
2022-08-12 00:00:00+00:00,31,21,76,40
2022-08-13 00:00:00+00:00,9,8,32,22
2022-08-14 00:00:00+00:00,14,12,51,28
2022-08-15 00:00:00+00:00,21,19,74,34
2022-08-16 00:00:00+00:00,23,20,111,49
2022-08-17 00:00:00+00:00,14,14,87,41
2022-08-18 00:00:00+00:00,11,10,90,42
2022-08-19 00:00:00+00:00,14,14,73,33
2022-08-20 00:00:00+00:00,10,8,48,27
2022-08-21 00:00:00+00:00,8,8,69,42
2022-08-22 00:00:00+00:00,16,16,70,37
2022-08-23 00:00:00+00:00,14,14,107,55
2022-08-24 00:00:00+00:00,12,11,90,51
2022-08-25 00:00:00+00:00,16,14,148,65
2022-08-26 00:00:00+00:00,9,9,82,47
2022-08-27 00:00:00+00:00,15,13,88,37
2022-08-28 00:00:00+00:00,12,9,48,18
2022-08-29 00:00:00+00:00,18,14,105,31
2022-08-30 00:00:00+00:00,17,16,66,33
2022-08-31 00:00:00+00:00,14,12,47,24
2022-09-01 00:00:00+00:00,19,17,78,44
2022-09-02 00:00:00+00:00,20,19,77,40
2022-09-03 00:00:00+00:00,17,16,70,43
2022-09-04 00:00:00+00:00,13,13,75,40
2022-09-05 00:00:00+00:00,20,14,84,49
2022-09-06 00:00:00+00:00,8,8,118,48
2022-09-07 00:00:00+00:00,9,8,68,40
2022-09-08 00:00:00+00:00,13,12,81,37
2022-09-09 00:00:00+00:00,15,14,68,36
2022-09-10 00:00:00+00:00,12,12,42,31
2022-09-11 00:00:00+00:00,18,15,61,41
2022-09-12 00:00:00+00:00,20,18,150,56
2022-09-13 00:00:00+00:00,19,15,72,42
2022-09-14 00:00:00+00:00,16,13,103,41
2022-09-15 00:00:00+00:00,26,15,73,43
2022-09-16 00:00:00+00:00,20,15,73,36
2022-09-17 00:00:00+00:00,19,16,108,46
2022-09-18 00:00:00+00:00,20,20,121,49
2022-09-19 00:00:00+00:00,18,16,85,42
2022-09-20 00:00:00+00:00,14,13,89,42
2022-09-21 00:00:00+00:00,10,9,114,49
2022-09-22 00:00:00+00:00,8,8,89,40
2022-09-23 00:00:00+00:00,16,13,67,29
2022-09-24 00:00:00+00:00,21,16,80,34
2022-09-25 00:00:00+00:00,15,13,55,34
2022-09-26 00:00:00+00:00,24,20,56,36
2022-09-27 00:00:00+00:00,9,9,75,33
2022-09-28 00:00:00+00:00,17,16,71,43
2022-09-29 00:00:00+00:00,19,15,71,42
2022-09-30 00:00:00+00:00,21,18,93,36
2022-10-01 00:00:00+00:00,8,7,72,32
2022-10-02 00:00:00+00:00,20,17,63,39
2022-10-03 00:00:00+00:00,9,9,69,38
2022-10-04 00:00:00+00:00,11,11,78,48
2022-10-05 00:00:00+00:00,13,12,51,29
2022-10-06 00:00:00+00:00,13,12,82,38
2022-10-07 00:00:00+00:00,8,7,106,46
2022-10-08 00:00:00+00:00,9,9,86,50
2022-10-09 00:00:00+00:00,14,14,96,50
2022-10-10 00:00:00+00:00,17,15,86,47
2022-10-11 00:00:00+00:00,16,13,69,33
2022-10-12 00:00:00+00:00,13,12,70,38
2022-10-13 00:00:00+00:00,13,12,49,31
2022-10-14 00:00:00+00:00,12,11,109,41
2022-10-15 00:00:00+00:00,14,12,72,39
2022-10-16 00:00:00+00:00,6,6,40,29
2022-10-17 00:00:00+00:00,16,12,46,28
2022-10-18 00:00:00+00:00,18,16,139,54
2022-10-19 00:00:00+00:00,17,14,114,55
2022-10-20 00:00:00+00:00,11,11,91,45
2022-10-21 00:00:00+00:00,15,14,94,41
2022-10-22 00:00:00+00:00,17,15,68,45
2022-10-23 00:00:00+00:00,12,11,76,36
2022-10-24 00:00:00+00:00,19,14,75,40
2022-10-25 00:00:00+00:00,20,18,67,49
2022-10-26 00:00:00+00:00,15,14,90,46
2022-10-27 00:00:00+00:00,17,17,110,60
2022-10-28 00:00:00+00:00,16,13,68,45
2022-10-29 00:00:00+00:00,22,18,70,36
2022-10-30 00:00:00+00:00,19,15,57,27
2022-10-31 00:00:00+00:00,14,14,80,42
2022-11-01 00:00:00+00:00,11,11,60,28
2022-11-02 00:00:00+00:00,9,8,54,26
2022-11-03 00:00:00+00:00,9,9,54,26
2022-11-04 00:00:00+00:00,15,14,66,34
2022-11-05 00:00:00+00:00,9,9,57,29
2022-11-06 00:00:00+00:00,11,10,56,28
2022-11-07 00:00:00+00:00,9,9,81,42
2022-11-08 00:00:00+00:00,12,12,74,33
2022-11-09 00:00:00+00:00,19,18,62,37
2022-11-10 00:00:00+00:00,7,5,62,38
2022-11-11 00:00:00+00:00,21,18,97,38
2022-11-12 00:00:00+00:00,14,12,78,41
2022-11-13 00:00:00+00:00,11,10,69,37
2022-11-14 00:00:00+00:00,19,15,66,36
2022-11-15 00:00:00+00:00,10,10,91,39
2022-11-16 00:00:00+00:00,18,14,66,31
2022-11-17 00:00:00+00:00,7,7,56,28
2022-11-18 00:00:00+00:00,9,9,90,40
2022-11-19 00:00:00+00:00,8,7,78,34
2022-11-20 00:00:00+00:00,7,7,79,41
2022-11-21 00:00:00+00:00,15,14,56,33
